Grupo de Pesquisa,Instituição,Líder 1,Líder 2,Área
Estátistica e Suas Aplicações,UTFPR,Emílio Augusto Coelho Barros,Roberto Molina de Souza,Probabilidade e Estatística
Estatística espacial e geotecnologias aplicadas ao estudo de insetos (ENTOgeosp),IFMT,Alexandre dos Santos,Moisés Santiago Ribeiro,Recursos Florestais e Engenharia Florestal
"Estatística Indutiva, Teste de Hipóteses e Epistemologia Bayesiana",USP,Julio Michael Stern,Marcelo de Souza Lauretto,Probabilidade e Estatística
Estatística Interdisciplinar,UEPG,Airton Kist,Deyse Marcia Pacheco Gebert,Probabilidade e Estatística
Estatística Matemática e Aplicada,UFFS,Everton Artuso,,Probabilidade e Estatística
Estatística URCA,URCA,Pedro Ferreira de Lima,,Probabilidade e Estatística
"Estatística, Análise de sobrevivência e probabilidade aplicadas",UFPI,Cleide Mayra Menezes Lima,,Probabilidade e Estatística
"Estatística, Modelagem e Mineração de Textos",UFRRJ,Adriana Oliveira Andrade,,Probabilidade e Estatística
Estatí­stica Espacial e Modelagem Estatística,UFPE,Fernanda De Bastiani,Getulio Jose Amorim do Amaral,Probabilidade e Estatística
ESTE ESTUDO EM ARTE,UEMG,Claudia Tamm Renault,Bruna Penna Mibielli,Artes
Esteatose hepática associada à Disfunção Metabólica e Outras Causas,UFRJ,Cristiane Alves Villela Nogueira,,Medicina
ESTEREOQUÍMICA DE COMPOSTOS ORGÂNICOS E DOCKING MOLECULAR - ECO_DM/,UEM,Ernani Abicht Basso,Barbara Celânia Fiorin,Química
Estereotomia um aspecto da História da Arquitetura no Brasil até o século XIX (ou o limite entre a Geometria Descritiva e a História da Arquitetura e das Artes).,UFRJ,Dalton Almeida Raphael,,Arquitetura e Urbanismo
"ESTESIA - GRUPO DE PESQUISA CORPO, FENOMENOLOGIA E MOVIMENTO",UFRN,Terezinha Petrucia da Nóbrega,Rosie Marie Nascimento de Medeiros,Educação Física
Estética e Cosmética baseada em evidência,UNOESTE,Ana Clara Campagnolo Gonçalves Toledo,,Fisioterapia e Terapia Ocupacional
Estética e Crítica da Modernidade,UFPEL,Clademir Luís Araldi,,Filosofia
Estética e Materialidade da Arquitetura,PUC Minas,Antonio Carlos Dutra Grillo,,Arquitetura e Urbanismo
Estética e política na contemporaneidade,UNISUL,Ana Carolina Cernicchiaro,Ramayana Lira de Sousa,Letras
Estética e Saúde integral,UNIARARAS,Laura Cristina Marretto Esquisatto Grignoli,,Medicina
Estética Fenomenológica e Hermenêutica,UFPB,Gilfranco Lucena dos Santos,Rainer Câmara Patriota,Filosofia
Estética(s) do Cinema,UFAL,Tiago Penna,Carlos Federico Buonfiglio Dowling,Filosofia
"Estética, Artes e Culturas Populares no Brasil",UFES,Aissa Afonso Guimarães,,Artes
"Estética, consumo e mundialização: transformações nos mundos das artes. Artes Visuais, arquitetura, design, moda e gastronomia.",UFJF,Maria Lucia Bueno Ramos,Camila Gui Rosatti,Sociologia
"Estética, Educação, Imagem e Som",UFCG,Luciênio de Macêdo Teixeira,Paulo Matias de Figueiredo Júnior,Artes
"Estética, Idealismo e Romantismo",UFPA,Pedro Paulo da Costa Corôa,,Filosofia
"Estética, Subjetividade, Cultura, Educação",UFBA,Rafael Lopes Azize,Paulo Sampaio Xavier de Oliveira,Filosofia
Estéticas da memória no século 21,USP,Giselle Beiguelman,Ana Mattos Porto Pato,Artes
ESTÉTICAS DE FIM-DE-SÉCULO,UFRJ,Flora De Paoli Faria,Sonia Cristina Reis,Letras
Estéticas do cinema documentário,UFPB,João de Lima Gomes,Fernando Trevas Falcone,Artes
"Estéticas, narrativas e políticas da imagem",UFJF,Fernanda Ribeiro de Salvo,,Comunicação
"Estéticas, Performances e Hibridismos",UFPA,Carlos Augusto Nascimento Sarmento-Pantoja,Ladyana dos Santos Lobato,Artes
Esteticidades: espaço de estudos e práticas em estética e subjetividades,UFES,Lara Brum de Calais,,Psicologia
"Estigma social em saúde mental, drogas de abuso e uso compassivo de cannabis medicinal",UFRRJ,Jaqueline Rocha Borges dos Santos,,Farmácia
"Estigma, Diversidade e Práticas Sociais de Inclusão",UNOESC,Jorgiana Baú,,Psicologia
Estilhaço: Grupo de Estudos sobre Modelos Críticos,USP,Vladimir Pinheiro Safatle,,Filosofia
Estilo e Artes Visuais na Amazônia,UFAM,Valter Frank de Mesquita Lopes,Claudia Carnevskis Bellan,Artes
Estilo e Qualidade de vida,UFES,Elizabete Regina Araujo de Oliveira,Marcia Mara Correa,Saúde Coletiva
"Estilos intelectuais, Motivação e Variáveis Psicoeducacionais",UEL,Katya Luciane de Oliveira,,Psicologia
Estimação semi paramétrica e simulação estocástica,UFAM,José Raimundo Gomes Pereira,James Dean Oliveira dos Santos Junior,Probabilidade e Estatística
Estomatologia,ULBRA,Rubem Beraldo dos Santos,Celso Afonso Klein Junior,Odontologia
Estomatologia Avançada,UERJ,Monica Simoes Israel,,Odontologia
Estomatologia e Patologia Bucal,UNIFAL/MG,Joao Adolfo Costa Hanemann,,Odontologia
ESTOMATOLOGIA E RADIOLOGIA ODONTOLÓGICA,UFAM,Nikeila Chacon de Oliveira Conde,Juliana Vianna Pereira,Odontologia
Estomatopatologia - Diagnóstico das doenças orofaciais,UFCG,Cyntia Helena Pereira de Carvalho,George João Ferreira do Nascimento,Odontologia
Estomatos - Pesquisa em doenças da boca,UFPE,Luiz Alcino Monteiro Gueiros,,Odontologia
Estopim - Núcleo de estudos interdisciplinares do Patrimônio Cultural,UFMG,Rita Lages Rodrigues,Luiz Henrique Assis Garcia,História
Estoque de Carbono e Fluxos de Gases do Efeito Estufa,UFAPE,Gustavo Pereira Duda,Maria Camila de Barros Silva Leite,Agronomia
ESTRA - Estudos Transdisciplinares do Trágico,UNEMAT,Bruna Marcelo Freitas,Dante Gatto,Educação Física
"ESTRADAS - Estudos de Serviço Social, Trabalho e Direitos na Amazônia",UFAM,Roberta Ferreira Coelho de Andrade,Hamida Assunção Pinheiro,Sociologia
Estratégia Comportamental,UNINOVE,Fernando Antonio Ribeiro Serra,Nairana Radtke Caneppele Bussler,Administração
Estratégia de Implantação de um Serviço para a Investigação Clínica e Laboratorial de Doenças Metabólicas Hereditárias e Neurodegenerativas na Região Norte do Brasil,UFPA,Luiz Carlos Santana da Silva,,Bioquímica
Estratégia de Inovação,UNINOVE,Priscila Rezende da Costa,,Administração
Estratégia e Competitividade,PUC/PR,Eduardo Damião da Silva,Heitor Takashi Kato,Administração
Estratégia e Competitividade,UNINOVE,Benny Kramer Costa,Roberto Lima Ruas,Administração
Estratégia e Competitividade,UNOESC,Juliano Danilo Spuldaro,Sérgio Begnini,Administração
Estratégia e Complexidade Organizacional,UFES,Lucilaine Maria Pascuci,Vitor Meyer Junior,Administração
Estratégia e Desempenho de Sistemas de Operações,PUC/PR,Fernando Deschamps,Ubiratã Tortato,Engenharia de Produção
Estratégia e Gestão de Stakeholders em Hospitalidade,UAM,Simone Ruchdi Barakat,,Administração
Estratégia e Gestão nas Relações Organizacionais e Sociais,UNIDAVI,Aldo Kaestner,Roberto Nasato Kaestner,Administração
Estratégia e Governança em Serviços Públicos,INSPER,Sandro Cabral,,Administração
Estratégia e Marketing em Hospitalidade e Turismo,UFMA,Luciana Brandão Ferreira,Davi Alysson da Cruz Andrade,Turismo
Estratégia em Projetos,UNINOVE,Isabel Cristina Scafuto,Emerson Antonio Maccari,Administração
"Estratégia Organizacional, Negócios Internacionais e Governança Corporativa",IFRS,Silvana Saionara Gollo,Eduardo Angonesi Predebon,Administração
"Estratégia, Competitividade e Desenvolvimento",UNESC,Silvio Parodi Oliveira Camilo,Melissa Watanabe,Administração
"Estratégia, Dinâmica e Comportamento em Organizações - Processos e Práticas",UFPR,Adriana Roseli Wunsch Takahashi,,Administração
"Estratégia, Gestão de Negócios e Internacionalização",UFU,Carlos Roberto Domingues,Janaína Maria Bueno,Administração
"Estratégia, Gestão e Sustentabilidade",UFSC,Rosalia Aldraci Barbosa Lavarda,Maria Elisa Brandão Bernardes,Administração
"Estratégia, inovação e organizações",ATITUS,Claudionor Guedes Laimer,,Administração
"Estratégia, Inovação e Tecnologias de apoio à Gestão",IPADE,Elnivan Moreira de Souza,,Administração
"Estratégia: processos, práticas e decisão",UFPR,Gustavo Abib,Natália Rese,Administração
Estratégias adaptativas e sustentáveis para culturas agrícolas,UFS,Luiz Fernando Ganassali de Oliveira Júnior,,Agronomia
Estratégias ativas para o ensino de ciências e saúde,UESB,Gabriele Marisco da Silva,,Biologia Geral
Estratégias coletivas para inclusão e funcionalidade,UFRJ,Fernanda de Sousa Marinho,Camila Barros de Miranda Moram,Fisioterapia e Terapia Ocupacional
Estratégias da Produção Midiática dos Sentidos,UFSM,Fabiano Maggioni,Adair Caetano Peruzzolo,Comunicação
Estratégias de construção de vínculo e identidade política dos atores políticos brasileiros,CÂMARA FEDERAL,Cristiane Brum Bernardes,Antonio Teixeira de Barros,Ciência Política
Estratégias de Ensino para Educação Básica e Profissional,IFSUL,Malcus Cassiano Kuhn,Silvio Luiz Martins Britto,Educação
Estratégias de Marketing,UFPR,Ana Maria Machado Toaldo,Simone Regina Didonet,Administração
Estratégias de Marketing e Operações em Gerontologia - EMOG,UFSCAR,Celeste Jose Zanon,,Enfermagem
Estratégias didático-pedagógicas voltadas ao estudante-trabalhador,IF SUDESTE MG,Gisele Francisca da Silva Carvalho,Rafaela Kelsen Dias,Educação
Estratégias e Metodologias de Ensino de Língua - EMEL,IFSP,Andréia Dias Ianuskiewtz,,Letras
Estratégias e Organizações,UFMS,Rosamaria Cox Moura Leite Padgett,Adriane Angélica Farias Santos Lopes de Queiroz,Administração
Estratégias e Práticas de Internacionalização no Ensino Superior,UNITOLEDO,Sergio Ricardo Mazini,,Educação
Estratégias e Relações com o Mercado,ATITUS,Claudionor Guedes Laimer,,Administração
Estratégias em Síntese Orgânica,UFPEL,Wilson João Cunico Filho,,Química
Estratégias em Síntese Orgânica,UFPEL,Wilson João Cunico Filho,,Química
Estratégias Genômicas para Otimização da Produção Sustentável de Carne,IZ,Claudia Cristina Paro de Paz,Nedenia Bonvino Stafuzza,Zootecnia
"Estratégias nutricionais para promoção da saúde, segurança alimentar e desempenho esportivo",UNIMEP,Nailza Maestá,,Nutrição
Estratégias para minimizar o impacto da contaminação de alimentos com micotoxinas,FURG,Eliana Badiale Furlong,Jaqueline Garda Buffon,Ciência e Tecnologia de Alimentos
"Estratégias para o Desenvolvimento, Estado e Pensamento Sócio-Político - EDESP",UFF,Alessandro André Leme,,Sociologia
ESTRATÉGIAS PARA O ENSINO DE CIÊNCIAS QUE CONTRIBUAM PARA O LETRAMENTO/ALFABETIZAÇÃO E DIVULGAÇÃO CIENTÍFICA (EECL/ADC),UFPI,Edneide Maria Ferreira da Silva,,Educação
Estratégias para Sociedade Sustentável,UFC,Áurio Lúcio Leocádio da Silva,Jose Carlos Lazaro da Silva Filho,Administração
Estratégias Pedagógicas de Aprendizagem,UNESA,Ana Valéria de Figueiredo da Costa,Zulmira Rangel Benfica,Educação
Estratégias Pedagógicas no Ensino da Clínica Integrada e da Saúde Bucal Coletiva,UEFS,Lydia de Brito Santos,,Odontologia
Estratégias Projetuais em Territórios Urbanos / Degradados e Portuários,MACKENZIE,Carlos Andrés Hernández Arriagada,Paulo Roberto Corrêa,Arquitetura e Urbanismo
Estratégias Regionais,UNILASALLE,Judite Sanson de Bem,Moisés Waismann,Economia
Estratigrafia Ambiental,UFRGS,Maria Luiza Correa da Camara Rosa,,Geociências
"Estratigrafia, Dinâmica e Evolução de Sistemas Dunares: Integração Geofísica Multidisciplinar",UFC,Raimundo Mariano Gomes Castelo Branco,Luis Parente Maia,Geociências
EstratO - Estratégias Midiáticas Organizacionais,UFSM,Patrícia Milano Pérsigo,Daiane Scheid,Comunicação
Estresse e Sindrome de Burnout,ESCS,Ana Cristina dos Santos,,Enfermagem
Estresse Oxidativo e Anomalias Congênitas,UNESP,Débora Cristina Damasceno,Marilza Vieira Cunha Rudge,Medicina
Estresse Oxidativo e Antioxidantes,UCS,Catia dos Santos Branco,,Bioquímica
Estresse Oxidativo e Homeostasia,FAMEMA,Maria Angélica Spadella,Agnaldo Bruno Chies,Medicina
Estresse Oxidativo e Mecanismos das doenças,UNIFESSPA,Letícia Dias Lima Jedlicka,,Saúde Coletiva
Estresse Oxidativo e Sinalização Celular,UNIPAMPA,Jeferson Luis Franco,Thais Posser,Bioquímica
Estresse Oxidativo e Toxicologia,FURG,José María Monserrat,Juliane Ventura Lima,Bioquímica
Estresse Oxidativo em Doenças Metabólicas,UFRGS,Carmen Regla Vargas,,Bioquímica
Estresse Oxidativo no Câncer,UEL,Alessandra Lourenco Cecchini,Rubens Cecchini,Medicina
Estresse oxidativo no sistema cardiovascular.,UFRGS,Adriane Belló Klein,Alex Sander da Rosa Araujo,Fisiologia
Estresses Ambientais,UFRJ,Elis Cristina Araujo Eleutherio,,Bioquímica
Estrutura da Matéria e Física Computacional,UNIR,Marco Polo Moreno de Souza,Ricardo de Sousa Costa,Física
Estrutura de aglomerados nos nucleos atômicos,USP,Hideaki Miyake,,Física
Estrutura de organismos fotossintetizantes,UFSC,Fernanda Maria Cordeiro de Oliveira,,Botânica
Estrutura e dinâmica do Estado Federal,USP,Roger Stiefelmann Leal,,Direito
Estrutura e Evolução de Genomas,UNESP,Cesar Martins,,Genética
Estrutura e Evolução de Paisagens do Quaternário - EEPQ,UFRN,Rodrigo de Freitas Amorim,,Geografia
ESTRUTURA E FISIOLOGIA DE PLANTAS,UFSC,Neusa Steiner,Ana Claudia Rodrigues,Botânica
Estrutura e Função Celular,USP,Claudimara Ferini Pacicco Lotfi,,Biologia Geral
Estrutura e Função de genes e genomas,UEM,Maria Aparecida Fernandez,,Bioquímica
Estrutura e Função de Polissacarídeos Complexos,UFJF,Jair Adriano Kopke de Aguiar,Valquíria Pereira de Medeiros,Bioquímica
Estrutura e Função de Sistemas Aquáticos,UNEMAT,Divina Sueide de Godoi,Luiz Antonio Jacyntho,Recursos Pesqueiros e Engenharia de Pesca
ESTRUTURA E FUNCIONALIDADE DOS VEGETAIS,UFLA,Evaristo Mauro de Castro,Fabricio Jose Pereira,Agronomia
Estrutura e funcionamento de comunidades vegetais em habitats fragmentados e em restauração,UENF,Marcelo Trindade Nascimento,,Ecologia
Estrutura e Funcionamento de Ecossistemas Aquáticos,IEPA,Luis Mauricio Abdon da Silva,Valdenira Ferreira dos Santos,Oceanografia
Estrutura e Interação de Sistemas Biológicos,USP,Rosangela Itri,,Biofísica
Estrutura e propriedades dos materiais,IFRS,Cínthia Gabriely Zimmer,André Zimmer,Engenharia de Materiais e Metalúrgica
Estrutura e Reabilitação do Ambiente Construído,UnB,Márcio Augusto Roma Buzar,Joao da Costa Pantoja,Engenharia Civil
Estrutura eletrônica de materiais,UFPI,Andre Alves Lino,Maurisan Alves Lino,Física
Estrutura eletrônica de materiais fortemente correlacionados,UFPR,Miguel Abbate,Rodrigo José Ochekoski Mossanek,Física
Estrutura em larga escala,UFRN,Rodrigo Fernandes Lira de Holanda,,Astronomia
Estrutura produtiva e desempenho econômico,PUCRS,Adelar Fochezatto,,Economia
"Estrutura, Dinâmica, Manejo de Florestas Naturais",UFV,Carlos Moreira Miquelino Eleto Torres,Carlos Pedro Boechat Soares,Recursos Florestais e Engenharia Florestal
"Estrutura, fisiologia e química de galhas neotropicais",UFMG,Rosy Mary dos Santos Isaias,Denis Coelho de Oliveira,Botânica
"Estrutura, Funcionamento e Ecologia de Plantas",UFRRJ,Rafael Ribeiro Pimentel,Helena Regina Pinto Lima,Botânica
"Estrutura, Interações Moleculares e Análise Metabolômica por Ressonância Magnética Nuclear",UFRJ,Luzineide Wanderley Tinoco,,Química
"Estrutura, Interações Moleculares e Análise Metabolômica por Ressonância Magnética Nuclear",UFRJ,Luzineide Wanderley Tinoco,,Química
Estruturas,MACKENZIE,Alfonso Pappalardo Junior,Fábio Raia,Engenharia Civil
Estruturas algébricas em teoria dos campos,CBPF,Francesco Toppan,,Física
Estruturas Associativas e Suas Representações,UFRGS,Alveri Alves Sant'Ana,,Matemática
Estruturas da Infraestrutura,UPF,Moacir Kripka,Zacarias Martin Chamberlain Pravia,Engenharia Civil
Estruturas de Concreto Armado e Protendido,UFMG,Roque Luiz da Silva Pitangueira,Samuel Silva Penna,Engenharia Civil
Estruturas de Concreto e Estruturas Reforçadas,UnB,Guilherme Sales Soares de Azevedo Melo,Marcos Honorato de Oliveira,Engenharia Civil
Estruturas de Concreto e suas Interfaces,UFMG,Manuel Noel Paul Georges Houmard,Jose Marcio Fonseca Calixto,Engenharia Civil
Estruturas de Dados Compactas,UFU,Felipe Alves da Louza,,Ciência da Computação
Estruturas de Materiais Compósitos,PUC-Rio,Daniel Carlos Taissum Cardoso,,Engenharia Civil
ESTRUTURAS DE SUPERFÍCIE DE MICRORGANISMOS,UFRJ,Celuta Sales Alviano,Daniela Sales Alviano Moreno,Microbiologia
Estruturas e Arquitetura,UnB,José Manoel Morales Sánchez,,Arquitetura e Urbanismo
Estruturas e Geotecnia,UTFPR,João Elias Abdalla Filho,,Engenharia Civil
Estruturas e Materiais,IFS,Rodolfo Santos da Conceição,Euler Wagner Freitas Santos,Engenharia Civil
Estruturas e Materiais,UFCG,Aline Figueirêdo da Nóbrega,Marília Marcy Cabral de Araújo,Engenharia Civil
Estruturas e Materiais Inteligentes,USP,Marcelo Areias Trindade,Paulo Sergio Varoto,Engenharia Mecânica
Estruturas e Sustentabilidade das Construções,UDESC,Kleyser Ribeiro,,Engenharia Civil
"Estruturas Formais, Fundamentos e Aplicações - EFFA",UFG,Daniel Lima Ventura,Thaynara Arielly de Lima,Ciência da Computação
Estruturas Geométricas em Variedades,UFPI,Newton Luís Santos,Rondinelle Marcolino Batista,Matemática
Estruturas Hidráulicas,UFRGS,Eder Daniel Teixeira,Mauricio Dai Pra,Engenharia Civil
Estruturas Metálicas,UFMG,Ricardo Hallal Fakury,Armando Cesar Campos Lavall,Engenharia Civil
"Estruturas, Materiais e Construção Civil Sustentável",UFRB,Fernanda Nepomuceno Costa,Carlos Frederico Macêdo Cortês,Engenharia Civil
"Estruturas, sistemas e processos para manejo e tratamento de resíduos agroindustriais",UFV,Cecília de Fátima Souza Ferreira,,Engenharia Agrícola
"Estruturas, Tecnologias e Sustentabilidade na Engenharia Civil",FLF,Francisco Pinto Filho,Cellyneude de Souza Fernandes,Engenharia Civil
ESTTRADA Estudos de Tradução e Adaptação,UFRJ,Andrea Lombardi,Vitor Alevato do Amaral,Letras
ESTÚDIA |Estudos Integrados em Arquitetura|,UFCG,Marcus Vinicius Dantas de Queiroz,,Arquitetura e Urbanismo
"Estúdio Conceito - arquitetura, urbanismo, políticas públicas urbanas e regionais",UFRN,Sara Raquel Fernandes Queiroz de Medeiros,Jane Roberta de Assis Barbosa,Arquitetura e Urbanismo
Estudo clinico e laboratorial dos distúrbios primários e secundários da imunidade,FCMSCSP,Wilma Carvalho Neves Forte,Taina Mosca,Medicina
Estudo da adaptação de animais de produção nas regiões tropicais,UFCG,Bonifácio Benicio de Souza,,Zootecnia
Estudo da Anatomia Vegetal e Histoquímica como subsídio para Farmacobotânica e Taxonomia.,URCA,João Tavares Calixto Júnior,,Botânica
"Estudo da ansiedade, função endotelial e rigidez vascular na hipertensão arterial resistente",UFF,Ronaldo Altenburg Odebrecht Curi Gismondi,,Medicina
Estudo da Biodiversidade de Plantas Superiores,UFRA,Cândido Ferreira de Oliveira Neto,Ricardo Shigueru Okumura,Agronomia
Estudo da biologia estrutural e ultraestrutural dos tecidos corporais,UFPE,Luciana Silva Regueira,,Morfologia
Estudo da dimensão política dos sermões da Baixa Idade Média ocidental: república e monarquia,UFMG,André Luis Pereira Miatello,,História
"Estudo da Epidemiologia, diagnóstico e tratamento das leishmanioses.",UnB,Raimunda Nonata Ribeiro Sampaio,Ciro Martins Gomes,Medicina
Estudo da evasão na UFFS Campus Realeza,UFFS,Karina Ramirez Starikoff,Ademir Roberto Freddo,Educação
Estudo da expressão gênica em resposta a fitoterápicos e proteina anti-inflamatória (Anexina A1) em diferentes linhagens de células tumorigênicas,UNESP,Flávia Cristina Rodrigues Lisoni,,Genética
"Estudo da formação, crescimento e maturação de oócitos e folículos ovarianos em mamíferos",UFC,José Roberto Viana Silva,Anderson Weiny Barbalho Silva,Medicina Veterinária
Estudo da inserção de compósitos de fibras nas estruturas de concreto,UERJ,Regina Helena Ferreira de Souza,,Engenharia Civil
ESTUDO DA INTERAÇÃO VÍRUS RNA E DNA/HOSPEDEIRO,UEL,Lígia Carla Faccin Galhardi,,Microbiologia
Estudo da Participação dos Macrófagos no Desenvolvimento do Processo Fibrótico,UFPR,Tárcio Teodoro Braga,,Imunologia
Estudo da performance muscular e das funções cardiopulmonares em crianças e adolescentes típicos e com doenças crônicas,USP,Ana Claudia Mattiello-Sverzut,,Fisioterapia e Terapia Ocupacional
"Estudo da relação entre organização, forma de gestão e a geração de inovação por parte da empresa brasileira.",USP,Paulo Roberto Feldmann,,Administração
Estudo da replicação de virus emergentes e reemergentes e atividade de antivirais,UFF,Izabel Christina Nunes de Palmer Paixão,,Microbiologia
Estudo da saúde bucal e seus agravos,IMIP,Fabiana Moura da Motta Silveira,Veronica Maria da Rocha Kozmhinsky,Medicina
Estudo da tonometria e outros exames oftálmicos nos animais domésticos,UNOESTE,Silvia Maria Caldeira Franco Andrade,,Medicina Veterinária
Estudo da variabilidade da frequência cardíaca como ferramenta de avaliação cardiovascular,UnB,Vera Regina Fernandes da Silva Marães,,Fisioterapia e Terapia Ocupacional
Estudo da Vegetação dos Ambientes Amazônicos,UEPA,Manoel Tavares de Paula,,Recursos Florestais e Engenharia Florestal
Estudo das Alopecias,UFF,Maria Fernanda Reis Gavazzoni Dias,,Medicina
Estudo das alterações celulares e moleculares na infecção da malária para identificação de alvos para compostos antimaláricos,UNIFESP,Marcos Leoni Gazarini Dutra,,Parasitologia
"Estudo das alterações imunometabólicas induzidas por compostos bioativos, fitoterápicos e fármacos em modelos experimentais de doenças metabólicas, infecciosas e agravos",UFOP,Daniela Caldeira Costa,,Bioquímica
Estudo das Alterações Morfofuncionais da Obesidade e Cirurgia Bariátrica,UFMA,Ozimo Pereira Gama Filho,,Medicina
Estudo das doenças bucais e fatores de risco a saúde humana,UFBA,Patricia Ramos Cury,Nara Santos Araujo,Odontologia
Estudo das Doenças Infecciosas de Animais e Humanos e seu Caráter Zoonótico,FGM/IBGM,Ana Carolina Messias de Souza Ferreira da Costa,,Medicina Veterinária
Estudo das Doenças Linfoproliferativas em Animais Domésticos,UFRPE,Andrea Alice da Fonseca Oliveira,,Medicina Veterinária
ESTUDO DAS DOENÇAS ODONTOLOGICAS E DAS ESTRATÉGIAS DE PROMOÇÃO À SAÚDE E QUALIDADE DE VIDA NA POPULAÇÃO PORTUÁRIA,UNIMES,Gustavo Duarte Mendes,,Medicina
Estudo das doenças periodontais,UVA/RJ,Antonio Carlos Canabarro Andrade Junior,,Odontologia
"ESTUDO DAS DOENÇAS RESPIRATÓRIAS ASSOCIADAS COM A POLUIÇÃO DO AR, NAS CIDADES COM ATIVIDADE PETROQUÍMICA",UNIMES,Gustavo Duarte Mendes,,Medicina
Estudo das hemoparasitoses e seus vetores e controle de parasitoses em animais de produção,UFRRJ,Adivaldo Henrique da Fonseca,Bruna de Azevedo Baêta,Medicina Veterinária
Estudo das linguagens em Educação Profissional e Tecnológica,IFSUL,Marta Helena Blank Tessmann,,Educação
"Estudo das manifestações bucais alégicas, citotóxicas e microbiológicas de pacientes em tratamento ortodôntico",UniEVANGELICA,Monarko Nunes de Azevedo,,Odontologia
Estudo das Organizações Educativas,UFPE,Alice Miriam Happ Botler,Ana Lúcia Felix dos Santos,Educação
Estudo das práticas integrativas e complementares em saúde,USP,Juliana Rizzo Gnatta,Ruth Natalia Teresa Turrini,Enfermagem
Estudo das Propriedades Eletrônicas e de Transporte de Semicondutores Orgânicos,UnB,Demétrio Antônio da Silva Filho,Pedro Henrique de Oliveira Neto,Física
Estudo das Redes Produtivas do Agronegócio,UNIP,Irenilza de Alencar Nääs,Oduvaldo Vendrametto,Engenharia de Produção
Estudo das relações entre a cobertura vegetal e as características edáficas e biológicas do solo,UNESP,Ana Maria Rodrigues Cassiolato,Kátia Luciene Maltoni,Agronomia
"Estudo das relações solo/relevo/hidrografia/vegetação em várias escalas de abordagem, com ênfase às capturas fluviais.",USP,Déborah de Oliveira,André Henrique Bezerra dos Santos,Ciências Ambientais
Estudo das Síndromes Humanas de Microdeleções,UNESP,Danilo Moretti-Ferreira,Deise Helena de Souza,Genética
Estudo das técnicas terapêuticas e condições clínicas envolvidas nas reabilitações protéticas,UFRGS,Cristiane Machado Mengatto,,Odontologia
Estudo das teorias e práticas pedagógicas na perspectiva crítica da educação escolar,UNESPAR,Fatima Aparecida de Souza Francioli,Nilva de Oliveira Brito dos Santos,Educação
Estudo de agravos crônicos e não crônicos em Saúde na Região da Campanha,URCAMP,Ana Paula Simões Menezes,Monica Lourdes Palomino de los Santos,Saúde Coletiva
Estudo de Alimentos Regionais e de Outros Recursos Naturais do Nordeste,UFS,Narendra Narain,Maria Aparecida Azevedo Pereira da Silva,Ciência e Tecnologia de Alimentos
Estudo de Amphisbaenia,UFOPA,Síria Lisandra de Barcelos Ribeiro,,Zoologia
Estudo de Atividade Antiviral e Formulação de Moléculas para Aplicação Nasal,UFF,Ana Maria Viana Pinto,,Biotecnologia
"Estudo de bactérias de importância médica (humana e veterinária) de origem hospitalar, comunitária e/ou ambiental",UFF,Cláudia Rezende Vieira de Mendonça Souza,Thiago Pavoni Gomes Chagas,Medicina
"Estudo de colesterol, óxidos de colesterol, fitosteróis e ácidos graxos em alimentos",UNICAMP,Neura Bragagnolo,,Ciência e Tecnologia de Alimentos
ESTUDO DE DOENÇAS DO FÍGADO.,FIOCRUZ,Livia Melo Villar,Francisco Campello do Amaral Mello,Microbiologia
Estudo de enfermidades e patologias de animais domÃ©sticos e silvestre na regiÃ£o AmazÃ´nica,UFRA,Washington Luiz Assuncao Pereira,Nazaré Fonseca de Souza,Medicina Veterinária
Estudo de Estrutura e Função de Proteínas,UFJF,Eveline Gomes Vasconcelos,Priscila de Faria Pinto,Bioquímica
Estudo de Fatores de Risco Cardiometabólico na Região de Saúde R10 do Rio Grande do Sul,ULBRA,Alexandre Machado Lehnen,,Medicina
Estudo de flebotomíneos do cerrado Pantanal,UFMS,Alessandra Gutierrez de Oliveira,,Parasitologia
Estudo de Humanas do Brasil Contemporâneo,IFAL,Gisele Oliveira de Lima,Thaline Luize Ribeiro Fontenele,Ciência Política
Estudo de intervenções na prevenção de quedas recorrentes em idosos( Prevquedas Brasil),USP,Luiz Eugênio Garcez Leme,Monica Rodrigues Perracini,Medicina
"ESTUDO DE IRREGULARIDADES IONOSFÉRICAS UTILIZANDO GNSS, RADAR VHF E MODELOS IONOSFÉRICOS",INPE,Eurico Rodrigues de Paula,,Geociências
"Estudo de Línguas Faladas no Brasil: Análise, Descrição e Documentação",UFMS,Rogério Vicente Ferreira,Caroline Pereira de Oliveira,Lingüística
Estudo de Marcadores Biológicos e Epidemiológicos de Patógenos Bacterianos,UFRJ,Lucia Martins Teixeira,,Microbiologia
"Estudo de marcadores, esfingolipídios e sinalização celular como potenciais alvos terapêuticos no câncer",USP,Andréia Machado Leopoldino,,Farmácia
Estudo de matérias-primas e processos na indústria alimentícia,UFVJM,Marcio Schmiele,Maria Teresa Pedrosa Silva Clerici,Ciência e Tecnologia de Alimentos
Estudo de mecanismos de indução de resistência em micobactérias,UEM,Katiany Rizzieri Caleffi Ferracioli,Rosilene Fressatti Cardoso,Microbiologia
Estudo de mecanismos e biomarcadores de resistência a quimioterápicos no câncer,UFRJ,Gabriela Nestal de Moraes,,Bioquímica
